Apotheke im Ärztehaus;Marktplatz 7;6410;Telfs
Apotheke Kolsass;Florian-Waldauf-Straße 1;6114;Kolsass
Apotheke Weerberg;Mitterberg 111;6133;Weerberg
Apotheke Weer;Dorfstraße 38;6116;Weer
Apotheke Westendorf;Dorfstraße 15;6363;Westendorf
Apotheke zur Serles;Schmelzgasse 2;6142;Mieders
Bahnhof-Apotheke;Südtiroler Platz 5 - 7;6020;Innsbruck
Barbara-Apotheke;Hermine Berghofer-Straße 12;6130;Schwaz
Brixental-Apotheke;Brixentaler Straße 4;6361;Hopfgarten
Burggrafen-Apotheke;Gumppstraße 45;6023;Innsbruck
Dolomiten-Apotheke;Glocknerstraße 20B;9990;Nußdorf-Debant
Dreifaltigkeits-Apotheke;Defreggerstraße 28;6020;Innsbruck
Edelweiß-Apotheke;Hauptstraße 50;6433;Ötz
Engel-Apotheke;Bahnhofstraße 1;6410;Telfs
Haller Lend Apotheke;Brockenweg 2;6060;Hall/Tirol
Johannes-Apotheke;Dechant-Wieshofer-Straße 25;6380;St. Johann/Tirol
Kronburg Apotheke;Hauptplatz 2;6511;Zams
Laurentius-Apotheke;Langgasse 78B;6460;Imst
Lohbach-Apotheke;Technikerstraße 3;6020;Innsbruck
Löwen-Apotheke;Innrain 103;6020;Innsbruck
Marien-Apotheke;Rathausplatz 3;6150;Steinach
Michaelis-Apotheke;Dr.-Bachmann-Straße 27;6250;Kundl
Prinz Eugen Apotheke;Prinz-Eugen-Straße 70;6020;Innsbruck
Reichenauer-Apotheke;Gutshofweg 2;6020;Innsbruck
Romedius-Apotheke;Dorfplatz 4;6065;Thaur
Sonnen-Apotheke;Obermieming 185;6414;Mieming
St. Georgen Apotheke;Karl-Schönherr-Straße 10;6410;Telfs
St. Magdalena Apotheke;Unterer Stadtplatz;6060;Hall/Tirol
Stadt-Apotheke;Dr.-Pfeiffenberger-Straße 22;6460;Imst
Stadt-Apotheke Zur Mariahilf;Malser Straße 18;6500;Landeck
Stadt-Apotheke Kitzbühel;Vorderstadt 15;6370;Kitzbühel
Stamser-Apotheke;Höttingergasse 45;6020;Innsbruck
Stubaital-Apotheke;Waldrasterstraße 12;6166;Fulpmes
Südtiroler-Apotheke;Südtiroler Straße 1;6600;Reutte
Tauern-Apotheke;Tauerntalstraße 5;9971;Matrei in Osttirol
Wipptal-Apotheke;Hauptstraße 65;6143;Matrei/Brenner
Panther-Apotheke;Stadt-Zug-Platz 5;8280;Fürstenfeld
Thermen Apotheke;;8271;Bad Waltersdorf 6
Apotheke Zum schwarzen Adler;Hauptstraße 54;7331;Weppersdorf
Apotheke Zur heiligen Margarete;Hauptstraße Nr. 17;7442;Lockenhaus
Kloster-Apotheke;Hauptstraße 34;7021;Baumgarten
Nord-Apotheke;St. Veiter Straße 109;9020;Klagenfurt
St.-Georg-Apotheke;Dörferstraße 2;6064;Rum
Apotheke Zum Granatapfel der Barmherzigen Brüder;Esterházystraße 26;7000;Eisenstadt
Anstaltsapotheke des A. ö. Krankenhaus der Elisabethinen;Völkermarkter Straße 15 - 19;9020;Klagenfurt
Anstaltsapotheke des Klinikum-Klagenfurt am Wörthersee;Feschnigstraße 11;9020;Klagenfurt
Bahnhof-Apotheke;Bahnhofplatz 5;2460;Bruckneudorf
Elisabeth-Apotheke;Obere Hauptstraße 24;7142;Illmitz
Passage-Apotheke;Hauptstraße 68;7201;Neudörfl/Leitha
Kreis-Apotheke Zum schwarzen Adler;Hauptplatz 26 - 27;2100;Korneuburg
Krankenhausapotheke des Kepler Universitätsklinikums;Wagner-Jauregg-Weg 15;4021;Linz
Apotheke Himmelreich;Fachmarktstraße 1;5073;Wals-Himmelreich
Obir-Apotheke;Baumbachplatz 21;9020;Klagenfurt
Purpur-Apotheke;Radegunderstraße 47;8045;Graz
Beneficium Kreuzbergl Apotheke;Radetzkystraße 20;9020;Klagenfurt
Gersthofer Apotheke;Gersthofer Straße 61;1180;Wien
Burg-Apotheke;Hauptplatz 15;9112;Griffen
Engel-Apotheke;Hauptstraße 33;9341;Straßburg
Pielachtal Apotheke zum heiligen Georg;Mariazeller Straße 13/5;3202;Hofstetten
Apotheke des Landesklinikums Mistelbach-Gänserndorf;Liechtensteinstraße 67;2130;Mistelbach
Kronen-Apotheke;Babenbergerstraße 11;3180;Lilienfeld
Uni-Apotheke;Universitätsstraße 23;9020;Klagenfurt
Landschafts-Apotheke;Rathausplatz 10;3390;Melk
Salvator Apotheke;Wiener Straße 2;2340;Mödling
Apotheke Lerchenfeld;Lerchenfelder Platz 12;3500;Krems-Lerchenfeld
Apotheke Rosenau;Waidhofnerstraße 43;3332;Rosenau/Sonntagberg
Apotheke an der Eisenstraße;1. Straße 16;3331;Kematen/Ybbs
Sonnen-Apotheke;Franckstraße 36;4020;Linz
Marien-Apotheke;Schleife 11;6830;Rankweil
Apotheke Stainz;Hauptplatz 8;8510;Stainz
Apotheke Zum schwarzen Adler;Rathausplatz 3;2273;Hohenau
